AK,3/25/2020
AZ,4/9/2020
AR,5/5/2020
CT,6/25/2020
DE,3/30/2020
DC,7/27/2020
FL,3/24/2020
HI,3/26/2020
ID,4/15/2020
KS,3/23/2020
KY,4/2/2020
ME,4/3/2020
MA,3/27/2020
MT,3/30/2020
NM,7/1/2020
NY,6/25/2020
ND,3/28/2020
OK,3/29/2020
RI,3/26/2020
SC,3/27/2020
TX,3/26/2020
UT,4/10/2020
VT,3/30/2020
WV,3/31/2020
